Sensor_ID,Tag_Name
,Time
[1:12],L1_DCVAH Act Position
[1:13],L1_PR5 Act Speed
[1:14],L1_PR5 Set Speed
[1:15],L1_PR5 Act Torque
[1:17],L1_PR1_ActSpeed
[1:19],L1_PR1_ActTorque
[1:21],L1_CVR KNIVES POSITION
[1:22],L1_PR2_ActSpeed
[1:24],L1_PR2_ActTorque
[1:25],L1_PR3_ActSpeed
[1:27],L1_PR3_ActTorque
[1:30],L1 bar temperature
[1:31],L1_PR4_ActSpeed
[1:33],L1_PR4_ActTorque
[1:34],L1_DCVRD Act Position
[1:36],L1_DCVR Act Position
[1:40],Speed from SpeedMeter L1
[1:60],L1_PR2 Roll Closing Pressure
[1:61],L1_PR3 Roll Closing Pressure
[1:62],L1_PR4 Roll Closing Pressure
[1:63],L1_PR5 Roll Closing Pressure
[1:68],E35_CVAH_ActualRotorPosition
[1:69],L1_PR2 ACTUAL CURRENT
[1:70],L1_PR3 ACTUAL CURRENT
[1:71],L1_PR1 ACTUAL CURRENT
[1:72],L1_CVAH ACTUAL CURRENT
[1:73],E35_DCVAH_Actual torque
[1:74],L1_CVR Speed feedback from drive
[1:75],L1_CVR torque feedback from drive
[1:76],L1_CVR output current feedback from drive
[1:78],L1_DCVR Speed feedback from drive
[1:79],L1_DCVR torque feedback from drive
[1:80],L1_DCVR output current feedback from drive
[1.182],E35PLC01 Mat.det. HMD34 CVRD entry L1
[1.183],E35PLC01 Mat.det. HMD35 TWC1A entry
[1.193],E35PLC01 Mat.det. HMD38 TWC1A entry (HW Interrupt)
[1.194],E35PLC01 Mat.det. HMD38 TWC1B entry (HW Interrupt)
[1.195],E10PLC01 Mat.det. HMD19 S18 exit L1
[1.196],E10PLC01 Mat.det. HMD26 CVR entry L1
[1.197],E10PLC01 Mat.det. HMD27 Looper at FFB entry L1
[1.198],E10PLC01 Mat.det. HMD28 FFB exit L1
[1.200],E35PLC01 Mat.det. HMD36 TWC1B entry
[1.210],"L1_PR4 Rolls closing/opening, sol.valve"
[3:18],L1_DCVAH First Head Pos
[3:19],L1_DCVAH New Head Pos
[3:21],L1_DCVAH Remain Length before L1_CVAH
[3:25],L1_DCVR Remain length before DCVR
[5:0],L2_DCVRD Act Position
[5:1],L2_DCVAH Act Position
[5:18],L2_PR2_ActTorque
[5:19],L2_PR2_ActSpeed
[5:21],L2_PR3_ActTorque
[5:22],L2_PR3_ActSpeed
[5:24],L2_PR4_ActTorque
[5:25],L2_PR4_ActSpeed
[5:27],L2_PR1_ActSpeed
[5:29],L2_PR1_ActTorque
[5:36],CVRL-2 KNIVES POSITION
[5:44],L2_DCVRD Actual Position for PID
[5:46],L2_DCVR Act Position
[5:57],Line-2 bar temp before cooling bed
[5:63],L2_PR2 Roll Closing Pressure
[5:64],L2_PR3 Roll Closing Pressure
[5:65],L2_PR4 Roll Closing Pressure
[5:66],L2_PR5 Roll Closing Pressure
[5:68],L2_PR3  ACTUAL CURRENT
[5:69],L2_PR1 ACTUAL CURRENT
[5:70],L2_DCVAH_Actual Torque
[5:71],L2_DCVAH_Actual Speed
[5:74],L2_DCVAH_Position error
[5:76],L2_CVAH_Actual Rotor position
[5:77],L2_DCVAH_Synchronisation error at cut
[5:80],L2_DCVR output current feedback from drive
[5:81],L2_PR4 ACTUAL CURRENT
[5.32],E10PLC01 Mat.det. HMD31 FFB exit L2
[5.33],E36PLC01 Mat.det. HMD37 CVRD entry L2
[5.34],E36PLC01 Mat.det. HMD38 TWC2A entry
[5.35],E36PLC01 Mat.det. HMD39 TWC2B entry
[5.44],E10PLC01 Mat.det. HMD19 S18 exit L2
[5.45],E10PLC01 Mat.det. HMD29 CVR entry L2
[5.46],E10PLC01 Mat.det. HMD31 FFB entry L2
[5.120],"L2_PR2 Rolls closing/opening, sol.valve"
[5.121],"L2_PR3 Rolls closing/opening, sol.valve"
[5.122],"L2_PR4 Rolls closing/opening, sol.valve"
[5.155],L2_PR1 Closing comand
[5.157],E36PLC01 Mat.det. HMD38 TWC2A entry (HW Interrupt)
[5.158],E36PLC01 Mat.det. HMD39 TWC2B entry (HW Interrupt)
[6:5],L2_DCVAH First Head Pos
[6:6],L2_DCVAH New Head Pos
[6:8],L2_DCVAH Remain Length before CVAH L2
[6:9],L2_DCVR First head position
[6:10],L2_DCVR Remain length before DCVR
[6:12],L2_DCVR Tail Cut off Length
[9:0],Stand 01_Torque
[9:1],Stand 02_Torque
[9:2],Stand 03_Torque
[9:3],Stand 04_Torque
[9:4],Stand 05_Torque
[9:5],Stand 06_Torque
[9:6],Stand 07_Torque
[9:7],Stand 08_Torque
[9:8],Stand 09_Torque
[9:9],Stand 10_Torque
[9:10],Stand 11_Torque
[9:11],Stand 12_Torque
[9:12],Stand 13_Torque
[9:13],Stand 14_Torque
[9:14],Stand 15_Torque
[9:15],Stand 16_Torque
[9:16],Stand 17_Torque
[9:17],Stand 18_Torque
[9:22],Stand 01_LineSpeed
[9:23],Stand 01_RPM
[9:24],Stand 02_LineSpeed
[9:25],Stand 02_RPM
[9:26],Stand 03_LineSpeed
[9:27],Stand 03_RPM
[9:28],Stand 04_LineSpeed
[9:29],Stand 04_RPM
[9:30],Stand 05_LineSpeed
[9:31],Stand 05_RPM
[9:32],Stand 06_LineSpeed
[9:33],Stand 06_RPM
[9:34],Stand 07_LineSpeed
[9:35],Stand 07_RPM
[9:36],Stand 08_LineSpeed
[9:37],Stand 08_RPM
[9:38],Stand 09_LineSpeed
[9:39],Stand 09_RPM
[9:41],Stand 10_LineSpeed
[9:42],Stand 10_RPM
[9:43],Stand 11_LineSpeed
[9:44],Stand 11_RPM
[9:45],Stand 12_LineSpeed
[9:46],Stand 12_RPM
[9:47],Stand 13_LineSpeed
[9:48],Stand 13_RPM
[9:49],Stand 14_LineSpeed
[9:50],Stand 14_RPM
[9:51],Stand 15_LineSpeed
[9:52],Stand 15_RPM
[9:53],Stand 16_LineSpeed
[9:54],Stand 16_RPM
[9:55],Stand 17_LineSpeed
[9:56],Stand 17_RPM
[9:57],Stand 18_LineSpeed
[9:58],Stand 18_RPM
[9:60],BC set Interbillet value from HMI
[9:61],Loop_Height Stand 9-10
[9:62],Loop_Height Stand 10-11
[9:63],Loop_Height Stand 11-12
[9:64],Loop_Height Stand 12-13
[9:65],Loop_Height Stand 13-14
[9:66],Loop_Height Stand 14-15
[9:67],Loop_HeightStand 15-16
[9:68],Loop_Height Stand 16-17
[9:69],Loop_Height Stand 17-18
[9:70],Mill Discharge time
[9:71],BC Billet discharge delay after billet discharge command
[9:73],RT_2_FEA_ACT_SPEED
[9:74],RT_1_FEA_SET_SPEED
[9:75],RT_2_FEA_SET_SPEED
[9:76],FFB Line 1 Loop Height
[9:77],FFB Line 2 Loop Height
[9:80],BILLCALL-WRK_DB.DischargeDelay
[9:81],BILLCALL-WRK_DB.DischDelayCnt
[9.16],Stand 12 downstream looper lifting command
[9.17],Stand 13 downstream looper lifting command
[9.18],Stand 14 downstream looper lifting command
